"","CellName","FACS_population","PassQC","TotalReads","UniqueMap","MulitMap","UnMap","UnMap_per","total_features_by_counts","pct_counts_MT","pct_counts_Ribosome","pct_counts_Hbb","cell_cycle","is_in_Fig_1B","Fig_1B_cluster","Fig_1B_UMAP1","Fig_1B_UMAP2","is_in_Fig_2C","Fig_2C_cluster","Fig_2C_UMAP1","Fig_2C_UMAP2"
"25","Cell_0025","E11.5_Fcs-HE","Pass",4843074,3612284,473512,757278,15.6363086750275,6654,4.78930351883797,9.6371526659866,0,"G1","yes","C_5",-0.0795135706249548,-2.76614384941779,"no",NA,NA,NA
"26","Cell_0026","E11.5_Fcs-HE","Pass",4532727,3410815,333645,788267,17.3905686356138,5657,3.83959572924443,10.4270020610417,0.000997447584129454,"G1","yes","C_3",0.638263474937863,-0.43068275432854,"no",NA,NA,NA
"27","Cell_0027","E11.5_Fcs-HE","Pass",4008148,3040481,325898,641769,16.0116093517505,6469,5.43356244724351,10.439098453207,0.00109623880466121,"G1","yes","C_3",2.04657933620155,0.49996557709177,"no",NA,NA,NA
"28","Cell_0028","E11.5_Fcs-HE","Pass",6388944,4904186,583546,901212,14.1058052786188,7797,5.14782849065329,10.4493283917429,0.000655035850112077,"G1","yes","C_5",0.00445418718804053,-3.11754003609493,"no",NA,NA,NA
"29","Cell_0029","E11.5_Fcs-HE","Pass",6847590,5207749,560785,1079056,15.758186456841,6764,4.69808004919332,10.9292855373074,0,"G1","yes","C_3",1.41619000915786,0.315568824069361,"no",NA,NA,NA
"30","Cell_0030","E11.5_Fcs-HE","Pass",9035287,7074627,698826,1261834,13.9656216786473,7262,3.68725006963959,13.4595198772945,0,"G1","yes","C_3",1.62794757513671,-0.555427587337293,"no",NA,NA,NA
"31","Cell_0031","E11.5_Fcs-HE","Pass",3147504,2320049,227581,599874,19.0587208149696,6391,3.13871137550227,14.6919276588002,0.000138893325759017,"G1","yes","C_3",2.20679352833862,-0.921136079936147,"no",NA,NA,NA
"32","Cell_0032","E11.5_Fcs-HE","Pass",4493412,3287422,352921,853069,18.9848827572455,6593,5.18174152406666,16.319693597493,0.000253375981578553,"G1","yes","C_3",1.62623174095218,-0.566805687073422,"no",NA,NA,NA
"33","Cell_0033","E11.5_Fcs-Endo","Pass",8244904,6470960,839136,934808,11.3380095147257,9024,4.09322092942242,11.9329243983062,0.000145149678348313,"G1","yes","C_1",-0.0375185730784867,5.30236138665882,"no",NA,NA,NA
"34","Cell_0034","E11.5_Fcs-Endo","Pass",5881027,4620740,575932,684355,11.6366580190841,8242,3.67282180536299,9.25105158277205,0.000185600724585229,"G2M","yes","C_1",-0.535132108535143,5.25581988698311,"no",NA,NA,NA
"35","Cell_0035","E11.5_Fcs-Endo","Fail",150,78,12,60,40,42,8,12,6,NA,"no",NA,NA,NA,"no",NA,NA,NA
"36","Cell_0036","E11.5_Fcs-Endo","Pass",7980044,6184828,816149,979067,12.2689423767588,8740,3.61198184113328,8.01302821684393,0,"G2M","yes","C_1",-0.622949153731239,5.37997180668641,"no",NA,NA,NA
"37","Cell_0037","E11.5_Fcs-Endo","Fail",9435,132,30,9273,98.2829888712242,56,6.45161290322581,4.83870967741935,0,NA,"no",NA,NA,NA,"no",NA,NA,NA
"38","Cell_0038","E11.5_Fcs-Endo","Pass",5207959,4028411,471755,707793,13.5906023837745,7406,3.64472225636853,10.0922095294663,0.000145046253437143,"G2M","yes","C_1",-0.617959000303828,5.59672465700036,"no",NA,NA,NA
"39","Cell_0039","E11.5_Fcs-Endo","Pass",8420984,6597043,724459,1099482,13.0564551601096,7311,2.44330438423664,9.53782698584198,0,"G1","yes","C_1",0.245606923126676,5.67012458657532,"no",NA,NA,NA
"40","Cell_0040","E11.5_Fcs-Endo","Pass",5660404,4418644,490867,750893,13.2657138960399,6754,6.63690881495747,10.497779541281,0.000113801591477323,"G1","yes","C_1",-0.0492516691730842,5.82589733061441,"no",NA,NA,NA
"41","Cell_0041","E11.5_Fcs-Endo","Pass",11046021,8623015,1094673,1328333,12.0254433700606,7803,4.60801170404243,9.81452557765522,0,"G1","yes","C_1",0.580815036569957,4.92064633938534,"no",NA,NA,NA
"42","Cell_0042","E11.5_Fcs-Endo","Pass",6864045,5054750,609657,1199638,17.4771290106635,7170,8.23353142880127,8.70366459856339,3.35186916984256e-05,"G2M","yes","C_1",-0.254862281895516,6.11099841677745,"no",NA,NA,NA
"43","Cell_0043","E11.5_Fcs-Endo","Pass",8063595,6434356,792411,836828,10.3778525583192,8871,2.9788806029564,8.82025423953717,6.36925771609034e-05,"G2M","yes","C_1",-0.443597689161219,5.41230798801616,"no",NA,NA,NA
"44","Cell_0044","E11.5_Fcs-Endo","Pass",4889165,3696884,361270,831011,16.996992328956,7479,4.16813805492547,12.2282173561247,0.000371161002219543,"G1","yes","C_3",0.715970927817227,-0.70705685777975,"no",NA,NA,NA
"45","Cell_0045","E11.5_Fcs-Endo","Pass",5851563,4512776,500280,838507,14.3296244097517,7126,3.29316082217404,9.86671622694847,0,"G2M","yes","C_1",-0.293712649303568,5.62106263662116,"no",NA,NA,NA
"46","Cell_0046","E11.5_Fcs-Endo","Pass",6529376,5105722,657207,766447,11.7384417745279,8366,3.11879817683457,9.91158215802141,0.00122539531531371,"G2M","yes","C_1",-0.427801258543593,5.37732391545699,"no",NA,NA,NA
"47","Cell_0047","E11.5_Fcs-Endo","Pass",8463766,6686912,844529,932325,11.0154864867483,8269,2.93302537579906,9.90885291957986,0.000511625355988923,"G2M","yes","C_1",-0.567743609094915,5.48516420633825,"no",NA,NA,NA
"48","Cell_0048","E11.5_Fcs-Endo","Pass",4906962,3711624,483633,711705,14.5039843389861,7555,5.57931931528678,13.4952577433089,0.00120938701176734,"G1","yes","C_1",0.466724605651205,5.87285960596394,"no",NA,NA,NA
"49","Cell_0049","E11.5_Fcs-IAHC","Pass",6927987,5146589,739622,1041776,15.0372106645119,9058,4.62965490425869,4.88320998303365,0.000879557091444215,"G2M","yes","C_6",-2.73002488317617,-4.34540901803884,"no",NA,NA,NA
"50","Cell_0050","E11.5_Fcs-IAHC","Fail",7278159,5155179,1343420,779560,10.7109503928122,3625,0.37482789063188,2.27592487976509,73.9429960884723,NA,"no",NA,NA,NA,"no",NA,NA,NA
"51","Cell_0051","E11.5_Fcs-IAHC","Fail",6742943,4573127,1296884,872932,12.9458605834277,2705,0.572368083831447,5.43039358306636,65.4830666419312,NA,"no",NA,NA,NA,"no",NA,NA,NA
"52","Cell_0052","E11.5_Fcs-IAHC","Fail",3428953,2150440,684481,594032,17.3240053159084,2121,0.778132712928487,4.84854763438508,70.0248907688145,NA,"no",NA,NA,NA,"no",NA,NA,NA
"53","Cell_0053","E11.5_Fcs-IAHC","Fail",6411461,4780447,826299,804715,12.5511954295597,8477,2.76878772216596,8.27445558921866,25.6984579871893,NA,"no",NA,NA,NA,"no",NA,NA,NA
"54","Cell_0054","E11.5_Fcs-IAHC","Pass",7044269,5273914,685065,1085290,15.4067086308033,8463,4.60151909282035,5.28324694440866,0.000685263812862676,"G1","yes","C_5",-1.08831985881348,-3.68362411619462,"no",NA,NA,NA
"55","Cell_0055","E11.5_Fcs-IAHC","Fail",6729534,4488461,1266910,974163,14.4759354808223,2913,0.62814211454138,4.08987175693032,69.5218905489531,NA,"no",NA,NA,NA,"no",NA,NA,NA
"56","Cell_0056","E11.5_Fcs-IAHC","Fail",8524851,5850704,1774155,899992,10.5572754292128,4254,0.188108447710203,3.733077605222,66.5475826962081,NA,"no",NA,NA,NA,"no",NA,NA,NA
"57","Cell_0057","E11.5_Fcs-IAHC","Pass",10338110,7942851,1127429,1267830,12.2636536078645,7296,5.3033852022019,4.38214208313467,0.000433444584109922,"S","yes","C_6",-2.44005688602888,-4.21822869997624,"no",NA,NA,NA
"58","Cell_0058","E11.5_Fcs-IAHC","Pass",7875625,5911323,623937,1340365,17.0191572097453,9013,6.52944169118296,5.63549937181862,0.000512063462133359,"G1","yes","C_3",0.284826071526332,-2.6994794622787,"no",NA,NA,NA
"59","Cell_0059","E11.5_Fcs-IAHC","Fail",4143293,1025968,148436,2968889,71.6552992993737,6854,4.32956926610981,4.45362018736629,0.00713567246165605,NA,"no",NA,NA,NA,"no",NA,NA,NA
"60","Cell_0060","E11.5_Fcs-IAHC","Fail",7851231,5445250,1390446,1015535,12.934723230026,4200,0.808750973236988,4.47785713369946,55.838107255877,NA,"no",NA,NA,NA,"no",NA,NA,NA
"61","Cell_0061","E11.5_Fcs-IAHC","Pass",7341113,5494817,770495,1075801,14.6544672449532,8097,5.19086497401766,4.11825635739345,0.00751956456243355,"G1","yes","C_5",-0.217625382558194,-3.11974550109298,"no",NA,NA,NA
"62","Cell_0062","E11.5_Fcs-IAHC","Fail",8747885,6190053,1578361,979471,11.1966606785526,3731,0.553965310521595,4.84041829593467,66.9341986688107,NA,"no",NA,NA,NA,"no",NA,NA,NA
"63","Cell_0063","E11.5_Fcs-IAHC","Fail",6527979,4445548,1165579,916852,14.0449593970814,2276,0.725500621560552,4.39332117054971,71.3264864789915,NA,"no",NA,NA,NA,"no",NA,NA,NA
"64","Cell_0064","E11.5_Fcs-IAHC","Fail",8248063,5528643,1765292,954128,11.5679038824024,2451,0.411132548239526,2.04462709906694,76.9269268869751,NA,"no",NA,NA,NA,"no",NA,NA,NA
"65","Cell_0065","E11.5_Fcs-IAHC","Fail",7616999,5229162,1198523,1189314,15.6139445469272,3340,0.614115300802304,3.75952273663384,65.286852638731,NA,"no",NA,NA,NA,"no",NA,NA,NA
"66","Cell_0066","E11.5_Fcs-IAHC","Fail",9537516,6475190,2072710,989616,10.3760350179229,2513,0.269430333764015,2.58137197314927,78.3479336470545,NA,"no",NA,NA,NA,"no",NA,NA,NA
"67","Cell_0067","E11.5_Fcs-IAHC","Fail",8428123,5426804,1759298,1242021,14.7366264113611,2528,0.750759357062716,3.83337903092308,75.1843266820171,NA,"no",NA,NA,NA,"no",NA,NA,NA
"68","Cell_0068","E11.5_Fcs-IAHC","Pass",5635852,4457469,598444,579939,10.2901744048637,8458,5.02350944182861,3.90842402363849,0.000772067055126691,"G1","yes","C_6",-2.17842162272941,-4.6028825517527,"no",NA,NA,NA
"69","Cell_0069","E11.5_Fcs-IAHC","Pass",9036106,6954104,906519,1175483,13.0087340719553,8511,3.40024039146435,4.46282411043467,0.000314391321699151,"G2M","yes","C_6",-2.2012751964531,-3.66270797577294,"no",NA,NA,NA
"70","Cell_0070","E11.5_Fcs-IAHC","Fail",7331544,5063958,1310013,957573,13.0610005204906,3164,0.782873610993611,4.43725700434404,65.3278763145214,NA,"no",NA,NA,NA,"no",NA,NA,NA
"71","Cell_0071","E10.5_Fcs-Endo_Gfi1","Pass",1287272,1047421,136829,103022,8.00312599046666,8386,1.98582135098726,4.48433852414828,0.0128941464259268,"G2M","yes","C_1",-0.200287813032956,5.2515138408446,"yes","C01",3.6841722221883,3.40680821144915
"72","Cell_0072","E10.5_Fcs-Endo_Gfi1","Pass",617892,482923,55528,79441,12.8567775598325,6449,1.21269796179249,6.5157304168738,0,"G1","yes","C_1",0.00137376148457863,4.55840688587493,"yes","C02",3.48130092925907,3.67180098948201
"73","Cell_0073","E10.5_Fcs-Endo_Gfi1","Fail",7502,5819,777,906,12.0767795254599,2103,1.59562841530055,1.90163934426229,0,NA,"no",NA,NA,NA,"no",NA,NA,NA
"74","Cell_0074","E10.5_Fcs-Endo_Gfi1","Pass",544924,446639,60817,37468,6.87582121543555,7776,1.86498579393406,3.27947567536157,0,"G2M","yes","C_1",-0.337708450283229,5.19787633482196,"yes","C01",4.01209953201958,3.69200763403212
"75","Cell_0075","E10.5_Fcs-Endo_Gfi1","Pass",881756,747076,80365,54315,6.15986735559497,6864,1.14200386622915,3.43915745192915,0,"G1","yes","C_1",0.480745403434667,4.50971282532874,"yes","C02",4.14172221780671,3.06159607513743
"76","Cell_0076","E10.5_Fcs-Endo_Gfi1","Pass",618572,521896,51811,44865,7.25299560924193,6418,1.54717242334049,4.99757735169931,0,"G2M","yes","C_1",-0.556947902274828,5.0306331377973,"yes","C01",4.32906298952923,3.37799815011457
"77","Cell_0077","E10.5_Fcs-Endo_Gfi1","Pass",1561720,1303415,132591,125714,8.04971441743719,6794,1.97724370738365,3.53482457183327,0,"G1","yes","C_1",0.57458155968899,4.28668412446199,"yes","C03",4.36842032857409,3.05192900580011
"78","Cell_0078","E10.5_Fcs-Endo_Gfi1","Pass",636616,529343,65467,41806,6.56691003681968,6121,1.94120257643545,3.35056554437394,0,"G2M","yes","C_1",-0.103603943972385,5.80782849524928,"yes","C01",4.14516410701002,3.89526874276217
"79","Cell_0079","E10.5_Fcs-Endo_Gfi1","Pass",566020,447547,70283,48190,8.51383343344758,6002,4.83266713274025,2.883696852936,0,"G2M","yes","C_1",-0.247597898223744,5.61863430047402,"yes","C01",4.09033143051575,3.75036002880806
"80","Cell_0080","E10.5_Fcs-Endo_Gfi1","Pass",1030395,852388,81301,96706,9.38533280926247,5914,5.57796142395224,2.59586757290749,0.214656413879303,"G2M","yes","C_1",-0.601569371610274,5.09171335798183,"yes","C01",4.25010877453847,3.40375100051634
"81","Cell_0081","E10.5_Fcs-Endo_Gfi1","Pass",923479,664839,86471,172169,18.6435208597055,5100,1.87342928946767,4.07370624740643,0,"G1","yes","C_1",0.426010279813112,5.41764647734775,"yes","C01",3.35999841685268,3.80471035990091
"82","Cell_0082","E10.5_Fcs-Endo_Gfi1","Pass",985900,807845,98881,79174,8.03063190993001,6400,1.87938848461637,2.1355164049534,0,"S","yes","C_1",-0.316247925372014,5.33321060593333,"yes","C01",4.465415817973,3.4959743484193
"83","Cell_0083","E10.5_Fcs-Endo_Gfi1","Pass",595558,471510,63738,60310,10.1266375399205,5693,2.06749608289251,3.78564001144674,0,"S","yes","C_1",0.0021126179822672,5.35323936440158,"yes","C01",4.21689113680999,3.7960414869237
"84","Cell_0084","E10.5_Fcs-Endo_Gfi1","Pass",531794,438561,45143,48090,9.04297528742333,5334,2.99014195221768,3.16203841060008,0,"G1","yes","C_1",1.7428339382016,1.55456520094392,"yes","C03",5.35771507393581,1.62731854515311
"85","Cell_0085","E10.5_Fcs-Endo_Gfi1","Pass",1353180,1073385,157450,122345,9.04129531917409,6580,3.0207399486225,1.70923334418774,0,"G1","yes","C_1",0.279483262456035,5.46467329237355,"yes","C01",3.31085911727188,3.74783638040038
"86","Cell_0086","E10.5_Fcs-Endo_Gfi1","Pass",785356,642622,79726,63008,8.02285842344109,6449,3.5492589938308,3.04930046210544,0,"G2M","yes","C_1",-0.422894784455861,5.28185709540276,"yes","C01",3.88849929914252,3.88870973116639
"87","Cell_0087","E10.5_Fcs-Endo_Gfi1","Pass",610155,487312,64625,58218,9.54150994419451,4084,4.81115329618855,11.4516049504462,0,"G1","yes","C_1",0.440998947723462,5.7780229096536,"yes","C01",3.45899898718147,3.74138056059668
"88","Cell_0088","E10.5_Fcs-Endo_Gfi1","Pass",942368,764425,90880,87063,9.23874749567048,5884,3.67892584738316,2.92517564722928,0,"G2M","yes","C_1",-0.0581709422464511,5.03625397330938,"yes","C02",3.67263611457306,3.48382113051734
"89","Cell_0089","E10.5_Fcs-Endo_Gfi1","Pass",532543,399907,64252,68384,12.8410287995523,4732,6.37102114696923,1.50456933468721,0,"G2M","yes","C_1",-0.670974899998812,5.57020229712837,"yes","C01",4.58322971677119,3.71598267793945
"90","Cell_0090","E10.5_Fcs-Endo_Gfi1","Pass",745769,617065,63420,65284,8.75391709765356,5371,3.31604705689625,6.33491691324781,0,"G1","yes","C_1",0.258321854299959,5.6761218913952,"yes","C01",3.28669422586485,3.77964287667045
"91","Cell_0091","E10.5_Fcs-Endo_Gfi1","Pass",840447,691018,74908,74521,8.86682919922375,5294,2.88692113649812,2.67598177118477,0,"S","yes","C_1",-0.361057564317295,4.70179378318166,"yes","C01",4.26708009838761,3.04397368659705
"92","Cell_0092","E10.5_Fcs-Endo_Gfi1","Pass",940805,784384,77544,78877,8.38399030617397,5972,3.31231901488157,3.478643522947,0,"G1","yes","C_1",1.60593928999592,1.97449009715695,"yes","C03",5.21105870898973,1.93712578278725
"93","Cell_0093","E10.5_Fcs-Endo_Gfi1","Pass",1015545,859010,73576,82959,8.16891422832075,6253,3.54664220059552,2.18524793473713,0,"G2M","yes","C_1",-0.576301341048731,4.83552549198921,"yes","C02",4.75555066047645,3.20917754372257
"94","Cell_0094","E10.5_Fcs-Endo_Gfi1","Pass",832953,664596,82335,86022,10.3273534040936,4780,4.71707580039533,3.50752729827051,0,"S","yes","C_1",0.0315224525578934,5.97179584817062,"yes","C01",4.6478079537705,3.52487633767444
"95","Cell_0095","E10.5_Fcs-Endo_Gfi1","Pass",1868368,1506036,204043,158289,8.47204619218484,6801,3.52311174392395,2.23072759245773,0,"G2M","yes","C_1",-0.490366826005608,4.8927700515947,"yes","C01",3.87271324447317,3.71565746334859
"96","Cell_0096","E10.5_Fcs-Endo_Gfi1","Pass",1970971,1627398,176049,167524,8.49956696470927,5872,1.24954357582474,2.87876814610687,0,"G1","yes","C_1",0.686132040366662,4.75373798320833,"yes","C02",3.976213053939,3.66724694568606
"97","Cell_0097","E10.5_Fcs-Endo_Gfi1","Pass",624116,497090,40655,86371,13.8389337879497,4897,2.39061711423007,3.60465800335015,0,"G1","yes","C_2",2.11318814630241,0.945764126773706,"yes","C05",4.67805303055483,-0.707980152173559
"98","Cell_0098","E10.5_Fcs-Endo_Gfi1","Fail",368701,277816,26586,64299,17.4393343115424,2691,2.50444131106485,6.41584924484986,0,NA,"no",NA,NA,NA,"no",NA,NA,NA
"99","Cell_0099","E10.5_Fcs-Endo_Gfi1","Pass",1089888,914820,70716,104352,9.57456178983529,5358,5.00600597120996,2.20946355669366,0,"G2M","yes","C_3",-0.289012196037965,0.149399810096363,"yes","C05",4.77710328641082,-0.795826799980241
"100","Cell_0100","E10.5_Fcs-Endo_Gfi1","Pass",687901,562551,56674,68676,9.98341331092701,4708,3.10314460226395,2.81242596846128,0.00180250702977742,"G1","yes","C_1",0.425230155304139,5.13760932464136,"yes","C01",3.46538104942515,3.84430461720935
"101","Cell_0101","E10.5_Fcs-Endo_Gfi1","Fail",652382,502390,46619,103373,15.8454709050832,2505,2.12217423978196,11.695330281794,0,NA,"no",NA,NA,NA,"no",NA,NA,NA
"102","Cell_0102","E10.5_Fcs-Endo_Gfi1","Pass",1015972,835566,88944,91462,9.00241345233924,5071,3.23704172900347,2.28861669194102,0,"G1","yes","C_1",0.682044588824829,5.82468024911846,"yes","C01",4.00691285143291,3.82262855659767
"103","Cell_0103","E10.5_Fcs-Endo_Gfi1","Pass",506884,395734,45856,65294,12.8814482208947,3242,2.81166261254337,3.68729296089655,0,"G1","yes","C_1",0.573788104688803,4.52550829297915,"yes","C02",4.59584472450131,3.42619856910178
"104","Cell_0104","E10.5_Fcs-Endo_Gfi1","Pass",1091805,906046,74987,110772,10.1457677882039,4365,3.20277524192076,2.35077597224758,0,"G1","yes","C_2",2.01281716157379,1.22665319859336,"yes","C05",4.58958893642809,-0.361277603044905
"105","Cell_0105","E10.5_Fcs-Endo_Gfi1","Pass",1108829,910254,90131,108444,9.78004723902423,4403,4.05117897766585,2.78865579940774,0,"G1","yes","C_1",1.58029080273613,1.97928143177778,"yes","C03",5.30822842917466,1.8244692645974
"106","Cell_0106","E10.5_Fcs-Endo_Gfi1","Pass",1134349,968226,68966,97157,8.56500071847377,5083,2.18428933044356,1.83368352552543,0,"G1","yes","C_1",1.61027290978795,1.95411613885058,"yes","C03",5.40727231498447,1.59418026630625
"107","Cell_0107","E10.5_Fcs-Endo_Gfi1","Pass",837882,661341,82568,93973,11.2155410905116,4362,4.53173282019172,2.42240514770639,0,"G1","yes","C_1",0.190439986819035,5.7959596597292,"yes","C01",3.33623681873179,3.84214532651477
"108","Cell_0108","E10.5_Fcs-Endo_Gfi1","Pass",990286,792857,105114,92315,9.32205443679907,3822,1.60503485193422,3.3328352392756,0,"G2M","yes","C_1",-0.114339579470546,5.85561216993907,"yes","C02",4.10373984056164,3.89991446335627
"109","Cell_0109","E10.5_Fcs-Endo_Gfi1","Pass",1005852,799563,87170,119119,11.8425971216441,4030,6.91678326951597,1.51758259252122,0,"S","yes","C_1",-0.430773135078163,4.74820769678281,"yes","C05",4.33991301595574,-0.560755366160501
"110","Cell_0110","E10.5_Fcs-Endo_Gfi1","Pass",774025,623121,68462,82442,10.6510771615904,4309,3.45574679387978,1.42859065279703,0,"G2M","yes","C_1",-0.439564327903523,6.03642846252298,"yes","C01",4.509980582424,3.81542315315664
"111","Cell_0111","E10.5_Fcs-Endo_Gfi1","Pass",720323,522952,77976,119395,16.5752030686234,3776,5.30896769945495,2.94724183341259,0,"G2M","yes","C_1",-0.331514825888828,5.96930175470938,"yes","C02",4.1434940832295,3.85002606650228
"112","Cell_0112","E10.5_Fcs-HE_Gfi1","Pass",1132000,916467,108554,106979,9.45044169611307,7976,2.54842686029375,5.80961610473348,0,"G2M","yes","C_5",-1.2429798932456,-1.79000440918523,"yes","C06_WT",3.67764119159483,-3.16722898554247
"113","Cell_0113","E10.5_Fcs-HE_Gfi1","Pass",1583315,1293369,157010,132936,8.39605511221709,7750,1.55458160568366,3.28041269610339,0.00848670012851289,"G2M","yes","C_4",-0.700808954500961,-0.719800632454509,"yes","C06_WT",4.60900835860203,-2.60310417252726
"114","Cell_0114","E10.5_Fcs-HE_Gfi1","Pass",618128,507302,60887,49939,8.07907100147542,7627,2.53183374823296,3.82896945419751,0,"G2M","yes","C_4",-0.844951061251045,-1.09113945433833,"yes","C06_WT",4.12845197430867,-2.93407533139865
"115","Cell_0115","E10.5_Fcs-HE_Gfi1","Pass",816971,643827,87391,85753,10.496455810549,7301,2.15361669166241,3.32168696540699,0,"G1","yes","C_5",-0.748825250617996,-2.48496016946672,"yes","C06_WT",3.25423536388296,-4.03309905565825
