gene_id	gene_name	gene_type	seqnames
139	ENSMUSG00000050217	Lgsn	protein_coding	chr1
140	ENSMUSG00000026063	Pih1d3	protein_coding	chr1
141	ENSMUSG00000026058	Khdrbs2	protein_coding	chr1
142	ENSMUSG00000091318	Gm5415	protein_coding	chr1
143	ENSMUSG00000102917	Gm37724	lncRNA	chr1
144	ENSMUSG00000104230	Gm37591	lncRNA	chr1
145	ENSMUSG00000026134	Prim2	protein_coding	chr1
146	ENSMUSG00000004768	Rab23	protein_coding	chr1
147	ENSMUSG00000042215	Bag2	protein_coding	chr1
148	ENSMUSG00000042197	Zfp451	protein_coding	chr1
149	ENSMUSG00000042182	Bend6	protein_coding	chr1
150	ENSMUSG00000026131	Dst	protein_coding	chr1
151	ENSMUSG00000096992	Gm26788	lncRNA	chr1
152	ENSMUSG00000104397	Gm37958	lncRNA	chr1
153	ENSMUSG00000102336	Gm37233	lncRNA	chr1
154	ENSMUSG00000042111	Ccdc115	protein_coding	chr1
155	ENSMUSG00000101711	Gm28306	lncRNA	chr1
156	ENSMUSG00000026127	Imp4	protein_coding	chr1
157	ENSMUSG00000026126	Ptpn18	protein_coding	chr1
158	ENSMUSG00000100280	Gm28417	lncRNA	chr1
159	ENSMUSG00000101223	4930568A12Rik	lncRNA	chr1
160	ENSMUSG00000026125	Prss39	protein_coding	chr1
161	ENSMUSG00000026124	Cfc1	protein_coding	chr1
162	ENSMUSG00000037529	Prss40	protein_coding	chr1
163	ENSMUSG00000045815	1700101I19Rik	lncRNA	chr1
164	ENSMUSG00000045174	Amer3	protein_coding	chr1
165	ENSMUSG00000037509	Arhgef4	protein_coding	chr1
166	ENSMUSG00000118272	Arhgef4	protein_coding	chr1
167	ENSMUSG00000104002	Gm38336	lncRNA	chr1
168	ENSMUSG00000037503	Fam168b	protein_coding	chr1
169	ENSMUSG00000026123	Plekhb2	protein_coding	chr1
170	ENSMUSG00000104417	Gm37068	lncRNA	chr1
171	ENSMUSG00000101714	Gm28415	lncRNA	chr1
172	ENSMUSG00000102531	1110002O04Rik	lncRNA	chr1
173	ENSMUSG00000102279	Gm37146	lncRNA	chr1
174	ENSMUSG00000103708	Gm33222	lncRNA	chr1
175	ENSMUSG00000104201	4930535G08Rik	lncRNA	chr1
176	ENSMUSG00000045216	Hs6st1	protein_coding	chr1
177	ENSMUSG00000104523	Gm37335	lncRNA	chr1
178	ENSMUSG00000102202	Gm33280	lncRNA	chr1
179	ENSMUSG00000037470	Uggt1	protein_coding	chr1
180	ENSMUSG00000047180	Neurl3	protein_coding	chr1
181	ENSMUSG00000037447	Arid5a	protein_coding	chr1
182	ENSMUSG00000102762	4930403P22Rik	lncRNA	chr1
183	ENSMUSG00000010453	Kansl3	protein_coding	chr1
184	ENSMUSG00000037432	Fer1l5	protein_coding	chr1
185	ENSMUSG00000001143	Lman2l	protein_coding	chr1
186	ENSMUSG00000037408	Cnnm4	protein_coding	chr1
187	ENSMUSG00000001138	Cnnm3	protein_coding	chr1
188	ENSMUSG00000102845	Gm38033	lncRNA	chr1
189	ENSMUSG00000067653	Ankrd23	protein_coding	chr1
190	ENSMUSG00000079610	Ankrd39	protein_coding	chr1
191	ENSMUSG00000026121	Sema4c	protein_coding	chr1
192	ENSMUSG00000087589	D430040D24Rik	lncRNA	chr1
193	ENSMUSG00000046337	Fam178b	protein_coding	chr1
194	ENSMUSG00000061518	Cox5b	protein_coding	chr1
195	ENSMUSG00000037351	Actr1b	protein_coding	chr1
196	ENSMUSG00000102416	4933424G06Rik	protein_coding	chr1
197	ENSMUSG00000104237	Gm33533	lncRNA	chr1
198	ENSMUSG00000026117	Zap70	protein_coding	chr1
199	ENSMUSG00000026116	Tmem131	protein_coding	chr1
200	ENSMUSG00000102930	Gm38115	lncRNA	chr1
201	ENSMUSG00000050122	Vwa3b	protein_coding	chr1
202	ENSMUSG00000103603	Gm37020	lncRNA	chr1
203	ENSMUSG00000026114	Cnga3	protein_coding	chr1
204	ENSMUSG00000026113	Inpp4a	protein_coding	chr1
205	ENSMUSG00000086064	4930439A04Rik	lncRNA	chr1
206	ENSMUSG00000026112	Coa5	protein_coding	chr1
207	ENSMUSG00000026111	Unc50	protein_coding	chr1
208	ENSMUSG00000026110	Mgat4a	protein_coding	chr1
209	ENSMUSG00000026090	2010300C02Rik	protein_coding	chr1
210	ENSMUSG00000089767	4930556I23Rik	lncRNA	chr1
211	ENSMUSG00000060771	Tsga10	protein_coding	chr1
212	ENSMUSG00000097268	Gm26805	lncRNA	chr1
213	ENSMUSG00000037216	Lipt1	protein_coding	chr1
214	ENSMUSG00000026088	Mitd1	protein_coding	chr1
215	ENSMUSG00000026087	Mrpl30	protein_coding	chr1
216	ENSMUSG00000061584	Lyg2	protein_coding	chr1
217	ENSMUSG00000087374	Gm15457	lncRNA	chr1
218	ENSMUSG00000026085	Lyg1	protein_coding	chr1
219	ENSMUSG00000058407	Txndc9	protein_coding	chr1
220	ENSMUSG00000026083	Eif5b	protein_coding	chr1
221	ENSMUSG00000026082	Rev1	protein_coding	chr1
222	ENSMUSG00000103804	Gm37062	lncRNA	chr1
223	ENSMUSG00000102716	Gm5099	lncRNA	chr1
224	ENSMUSG00000037138	Aff3	protein_coding	chr1
225	ENSMUSG00000085391	Gm16150	lncRNA	chr1
226	ENSMUSG00000085280	Gm16151	lncRNA	chr1
227	ENSMUSG00000087131	Gm16152	lncRNA	chr1
228	ENSMUSG00000048814	Lonrf2	protein_coding	chr1
229	ENSMUSG00000026080	Chst10	protein_coding	chr1
230	ENSMUSG00000103647	Gm37707	lncRNA	chr1
231	ENSMUSG00000067604	Nms	protein_coding	chr1
232	ENSMUSG00000026078	Pdcl3	protein_coding	chr1
233	ENSMUSG00000104188	Gm37821	lncRNA	chr1
234	ENSMUSG00000026077	Npas2	protein_coding	chr1
235	ENSMUSG00000073702	Rpl31	protein_coding	chr1
236	ENSMUSG00000003134	Tbc1d8	protein_coding	chr1
237	ENSMUSG00000003135	Cnot11	protein_coding	chr1
238	ENSMUSG00000085894	Gm15832	lncRNA	chr1
239	ENSMUSG00000048234	Rnf149	protein_coding	chr1
240	ENSMUSG00000050967	Creg2	protein_coding	chr1
241	ENSMUSG00000097083	D930019O06Rik	lncRNA	chr1
242	ENSMUSG00000057173	Rfx8	protein_coding	chr1
243	ENSMUSG00000091937	Gm3646	protein_coding	chr1
244	ENSMUSG00000101634	1700066B17Rik	lncRNA	chr1
245	ENSMUSG00000026074	Map4k4	protein_coding	chr1
246	ENSMUSG00000026073	Il1r2	protein_coding	chr1
247	ENSMUSG00000097899	Gm16894	lncRNA	chr1
248	ENSMUSG00000026072	Il1r1	protein_coding	chr1
249	ENSMUSG00000070942	Il1rl2	protein_coding	chr1
250	ENSMUSG00000026069	Il1rl1	protein_coding	chr1
251	ENSMUSG00000026070	Il18r1	protein_coding	chr1
252	ENSMUSG00000026068	Il18rap	protein_coding	chr1
253	ENSMUSG00000104441	Gm35801	lncRNA	chr1
254	ENSMUSG00000026065	Slc9a4	protein_coding	chr1
255	ENSMUSG00000026062	Slc9a2	protein_coding	chr1
256	ENSMUSG00000103679	Gm37623	lncRNA	chr1
257	ENSMUSG00000103270	Gm37915	lncRNA	chr1
258	ENSMUSG00000041945	Mfsd9	protein_coding	chr1
259	ENSMUSG00000079588	Tmem182	protein_coding	chr1
260	ENSMUSG00000104072	4930448I06Rik	lncRNA	chr1
261	ENSMUSG00000100185	Gm28634	lncRNA	chr1
262	ENSMUSG00000100832	Gm29260	lncRNA	chr1
263	ENSMUSG00000053640	Gm9915	lncRNA	chr1
264	ENSMUSG00000101919	Gm29664	lncRNA	chr1
265	ENSMUSG00000101299	Gm28175	lncRNA	chr1
266	ENSMUSG00000100180	Gm28140	lncRNA	chr1
267	ENSMUSG00000060424	Pantr1	lncRNA	chr1
268	ENSMUSG00000093436	Gm20646	lncRNA	chr1
269	ENSMUSG00000045515	Pou3f3	protein_coding	chr1
270	ENSMUSG00000097063	Pantr2	lncRNA	chr1
271	ENSMUSG00000099784	Dalir	lncRNA	chr1
272	ENSMUSG00000060679	Mrps9	protein_coding	chr1
273	ENSMUSG00000041907	Gpr45	protein_coding	chr1
274	ENSMUSG00000070939	Tgfbrap1	protein_coding	chr1
275	ENSMUSG00000100269	Gm28782	lncRNA	chr1
276	ENSMUSG00000041878	8430432A02Rik	lncRNA	chr1
277	ENSMUSG00000010290	AI597479	protein_coding	chr1
278	ENSMUSG00000008136	Fhl2	protein_coding	chr1
279	ENSMUSG00000099576	Gm29040	lncRNA	chr1
280	ENSMUSG00000066877	Nck2	protein_coding	chr1
281	ENSMUSG00000026051	Ecrg4	protein_coding	chr1
282	ENSMUSG00000100764	Gm29155	lncRNA	chr1
283	ENSMUSG00000100635	Gm29157	lncRNA	chr1
284	ENSMUSG00000100480	Gm29156	lncRNA	chr1
285	ENSMUSG00000057363	Uxs1	protein_coding	chr1
286	ENSMUSG00000041763	Tpp2	protein_coding	chr1
287	ENSMUSG00000047343	Mettl21c	protein_coding	chr1
288	ENSMUSG00000091844	Gm8251	protein_coding	chr1
289	ENSMUSG00000026049	Tex30	protein_coding	chr1
290	ENSMUSG00000026047	Poglut2	protein_coding	chr1
291	ENSMUSG00000041684	Bivm	protein_coding	chr1
292	ENSMUSG00000026048	Ercc5	protein_coding	chr1
293	ENSMUSG00000046828	Mettl21e	protein_coding	chr1
294	ENSMUSG00000100769	Gm28893	lncRNA	chr1
295	ENSMUSG00000056870	Gulp1	protein_coding	chr1
296	ENSMUSG00000101701	4930521E06Rik	lncRNA	chr1
297	ENSMUSG00000026043	Col3a1	protein_coding	chr1
298	ENSMUSG00000026042	Col5a2	protein_coding	chr1
299	ENSMUSG00000025995	Wdr75	protein_coding	chr1
300	ENSMUSG00000098549	Gm5269	protein_coding	chr1
301	ENSMUSG00000025993	Slc40a1	protein_coding	chr1
302	ENSMUSG00000041144	Dnah7b	protein_coding	chr1
303	ENSMUSG00000101337	Dnah7c	protein_coding	chr1
304	ENSMUSG00000025986	Slc39a10	protein_coding	chr1
305	ENSMUSG00000100213	Gm28151	lncRNA	chr1
306	ENSMUSG00000101447	Gm28826	lncRNA	chr1
307	ENSMUSG00000051616	C230029F24Rik	lncRNA	chr1
308	ENSMUSG00000099608	4933411E06Rik	lncRNA	chr1
309	ENSMUSG00000100451	Gm29665	lncRNA	chr1
310	ENSMUSG00000100816	Gm28321	lncRNA	chr1
311	ENSMUSG00000026109	Tmeff2	protein_coding	chr1
312	ENSMUSG00000100671	Gm28322	lncRNA	chr1
313	ENSMUSG00000101242	Gm28319	lncRNA	chr1
314	ENSMUSG00000099924	Gm28320	lncRNA	chr1
315	ENSMUSG00000099625	Gm29325	lncRNA	chr1
316	ENSMUSG00000101799	9330175M20Rik	lncRNA	chr1
317	ENSMUSG00000045954	Cavin2	protein_coding	chr1
318	ENSMUSG00000101702	1700072G22Rik	lncRNA	chr1
319	ENSMUSG00000026107	Nabp1	protein_coding	chr1
320	ENSMUSG00000099413	Gm17767	lncRNA	chr1
321	ENSMUSG00000101741	Gm28055	lncRNA	chr1
322	ENSMUSG00000018417	Myo1b	protein_coding	chr1
323	ENSMUSG00000101724	Gm29453	lncRNA	chr1
324	ENSMUSG00000100313	Gm28323	lncRNA	chr1
325	ENSMUSG00000062939	Stat4	protein_coding	chr1
326	ENSMUSG00000109599	Gm31812	lncRNA	chr1
327	ENSMUSG00000026104	Stat1	protein_coding	chr1
328	ENSMUSG00000026103	Gls	protein_coding	chr1
329	ENSMUSG00000002881	Nab1	protein_coding	chr1
330	ENSMUSG00000100120	Gm553	lncRNA	chr1
331	ENSMUSG00000099878	Gm28178	lncRNA	chr1
332	ENSMUSG00000043015	Nemp2	protein_coding	chr1
333	ENSMUSG00000041439	Mfsd6	protein_coding	chr1
334	ENSMUSG00000100302	Gm29670	lncRNA	chr1
335	ENSMUSG00000026102	Inpp1	protein_coding	chr1
336	ENSMUSG00000041426	Hibch	protein_coding	chr1
337	ENSMUSG00000043629	1700019D03Rik	protein_coding	chr1
338	ENSMUSG00000026100	Mstn	protein_coding	chr1
339	ENSMUSG00000060715	1700019A02Rik	protein_coding	chr1
340	ENSMUSG00000026098	Pms1	protein_coding	chr1
341	ENSMUSG00000100763	Gm28777	lncRNA	chr1
342	ENSMUSG00000026097	Ormdl1	protein_coding	chr1
343	ENSMUSG00000026096	Osgepl1	protein_coding	chr1
344	ENSMUSG00000026095	Asnsd1	protein_coding	chr1
345	ENSMUSG00000117809	Asdurf	protein_coding	chr1
346	ENSMUSG00000096141	Dnah7a	protein_coding	chr1
347	ENSMUSG00000026094	Stk17b	protein_coding	chr1
348	ENSMUSG00000042807	Hecw2	protein_coding	chr1
349	ENSMUSG00000025983	Ccdc150	protein_coding	chr1
350	ENSMUSG00000041303	Gtf3c3	protein_coding	chr1
351	ENSMUSG00000109809	Gm34066	protein_coding	chr1
352	ENSMUSG00000073678	Pgap1	protein_coding	chr1
353	ENSMUSG00000052331	Ankrd44	protein_coding	chr1
354	ENSMUSG00000101674	4930444A19Rik	lncRNA	chr1
355	ENSMUSG00000025982	Sf3b1	protein_coding	chr1
356	ENSMUSG00000025981	Coq10b	protein_coding	chr1
357	ENSMUSG00000025980	Hspd1	protein_coding	chr1
358	ENSMUSG00000073676	Hspe1	protein_coding	chr1
359	ENSMUSG00000025979	Mob4	protein_coding	chr1
360	ENSMUSG00000025978	Rftn2	protein_coding	chr1
361	ENSMUSG00000097649	Gm10561	lncRNA	chr1
362	ENSMUSG00000046994	Mars2	protein_coding	chr1
363	ENSMUSG00000025977	Boll	protein_coding	chr1
364	ENSMUSG00000038349	Plcl1	protein_coding	chr1
365	ENSMUSG00000099950	9130227L01Rik	lncRNA	chr1
366	ENSMUSG00000100372	1700003I22Rik	lncRNA	chr1
367	ENSMUSG00000101332	Gm28240	lncRNA	chr1
368	ENSMUSG00000045336	Hsfy2	protein_coding	chr1
369	ENSMUSG00000038331	Satb2	protein_coding	chr1
370	ENSMUSG00000087022	9130024F11Rik	lncRNA	chr1
371	ENSMUSG00000099945	1700126A01Rik	lncRNA	chr1
372	ENSMUSG00000101429	BC055402	lncRNA	chr1
373	ENSMUSG00000097519	4930558J18Rik	lncRNA	chr1
374	ENSMUSG00000038323	1700066M21Rik	protein_coding	chr1
375	ENSMUSG00000048495	Tyw5	protein_coding	chr1
376	ENSMUSG00000025971	Maip1	protein_coding	chr1
377	ENSMUSG00000038305	Spats2l	protein_coding	chr1
378	ENSMUSG00000091283	Gm17234	lncRNA	chr1
379	ENSMUSG00000054770	Kctd18	protein_coding	chr1
380	ENSMUSG00000026039	Sgo2a	protein_coding	chr1
381	ENSMUSG00000063558	Aox1	protein_coding	chr1
382	ENSMUSG00000064294	Aox3	protein_coding	chr1
383	ENSMUSG00000038242	Aox4	protein_coding	chr1
384	ENSMUSG00000089822	Gm15759	lncRNA	chr1
385	ENSMUSG00000079554	Aox2	protein_coding	chr1
386	ENSMUSG00000051223	Bzw1	protein_coding	chr1
387	ENSMUSG00000026034	Clk1	protein_coding	chr1
388	ENSMUSG00000026035	Ppil3	protein_coding	chr1
389	ENSMUSG00000026036	Nif3l1	protein_coding	chr1
390	ENSMUSG00000026037	Orc2	protein_coding	chr1
391	ENSMUSG00000085054	Gm15834	lncRNA	chr1
392	ENSMUSG00000038174	Fam126b	protein_coding	chr1
393	ENSMUSG00000026032	Ndufb3	protein_coding	chr1
394	ENSMUSG00000047528	Flacc1	protein_coding	chr1
395	ENSMUSG00000026031	Cflar	protein_coding	chr1
396	ENSMUSG00000026029	Casp8	protein_coding	chr1
397	ENSMUSG00000026028	Trak2	protein_coding	chr1
398	ENSMUSG00000026027	Stradb	protein_coding	chr1
399	ENSMUSG00000072295	C2cd6	protein_coding	chr1
400	ENSMUSG00000047383	AC169382.1	lncRNA	chr1
401	ENSMUSG00000099752	Gm29018	lncRNA	chr1
402	ENSMUSG00000038079	Tmem237	protein_coding	chr1
403	ENSMUSG00000097573	G730003C15Rik	lncRNA	chr1
404	ENSMUSG00000079550	Mpp4	protein_coding	chr1
405	ENSMUSG00000101586	Gm29017	lncRNA	chr1
406	ENSMUSG00000026024	Als2	protein_coding	chr1
407	ENSMUSG00000026023	Cdk15	protein_coding	chr1
408	ENSMUSG00000099922	Gm29016	lncRNA	chr1
409	ENSMUSG00000041075	Fzd7	protein_coding	chr1
410	ENSMUSG00000097819	Gm26813	lncRNA	chr1
411	ENSMUSG00000047361	Gm973	protein_coding	chr1
412	ENSMUSG00000099811	Gm28411	lncRNA	chr1
413	ENSMUSG00000101409	1700122D07Rik	lncRNA	chr1
414	ENSMUSG00000026021	Sumo1	protein_coding	chr1
415	ENSMUSG00000026020	Nop58	protein_coding	chr1
416	ENSMUSG00000067336	Bmpr2	protein_coding	chr1
417	ENSMUSG00000041040	Fam117b	protein_coding	chr1
418	ENSMUSG00000026018	Ica1l	protein_coding	chr1
419	ENSMUSG00000026019	Wdr12	protein_coding	chr1
420	ENSMUSG00000026017	Carf	protein_coding	chr1
421	ENSMUSG00000073664	Nbeal1	protein_coding	chr1
422	ENSMUSG00000049439	Cyp20a1	protein_coding	chr1
423	ENSMUSG00000026782	Abi2	protein_coding	chr1
424	ENSMUSG00000026014	Raph1	protein_coding	chr1
425	ENSMUSG00000026012	Cd28	protein_coding	chr1
426	ENSMUSG00000086795	Gm11579	lncRNA	chr1
427	ENSMUSG00000085965	2310016D23Rik	lncRNA	chr1
428	ENSMUSG00000026011	Ctla4	protein_coding	chr1
429	ENSMUSG00000026009	Icos	protein_coding	chr1
430	ENSMUSG00000100893	Gm28083	lncRNA	chr1
431	ENSMUSG00000085248	Gm11587	lncRNA	chr1
432	ENSMUSG00000085447	9530026F06Rik	lncRNA	chr1
433	ENSMUSG00000086408	Gm11588	lncRNA	chr1
434	ENSMUSG00000100965	Gm28449	lncRNA	chr1
435	ENSMUSG00000086009	4930587A21Rik	lncRNA	chr1
436	ENSMUSG00000052062	Pard3b	protein_coding	chr1
437	ENSMUSG00000085842	Pard3bos1	lncRNA	chr1
438	ENSMUSG00000085019	Pard3bos2	lncRNA	chr1
439	ENSMUSG00000085400	Pard3bos3	lncRNA	chr1
440	ENSMUSG00000100750	Gm29084	lncRNA	chr1
441	ENSMUSG00000025969	Nrp2	protein_coding	chr1
442	ENSMUSG00000100811	Gm29083	lncRNA	chr1
443	ENSMUSG00000100426	Gm4208	lncRNA	chr1
444	ENSMUSG00000040865	Ino80d	protein_coding	chr1
445	ENSMUSG00000084799	Ino80dos	lncRNA	chr1
446	ENSMUSG00000101599	Gm20342	lncRNA	chr1
447	ENSMUSG00000025968	Ndufs1	protein_coding	chr1
448	ENSMUSG00000025967	Eef1b2	protein_coding	chr1
449	ENSMUSG00000046856	Gpr1	protein_coding	chr1
450	ENSMUSG00000086730	Platr12	lncRNA	chr1
451	ENSMUSG00000087561	Gm11608	lncRNA	chr1
452	ENSMUSG00000027520	Zdbf2	protein_coding	chr1
453	ENSMUSG00000025964	Adam23	protein_coding	chr1
454	ENSMUSG00000115378	Gm39653	protein_coding	chr1
455	ENSMUSG00000069085	Dytn	protein_coding	chr1
456	ENSMUSG00000025963	Mdh1b	protein_coding	chr1
457	ENSMUSG00000025962	Fastkd2	protein_coding	chr1
458	ENSMUSG00000025961	4933402D24Rik	protein_coding	chr1
459	ENSMUSG00000044689	Gm13749	lncRNA	chr1
460	ENSMUSG00000025959	Klf7	protein_coding	chr1
